Term,Adjusted P-value,Adjusted P-value using all genes
collagen and cuticulin-based cuticle development (GO:0040002),1.55311746e-08,1.6454695936e-05
ribosome assembly (GO:0042255),4.11178479e-08,2.28075527e-08
ribosomal large subunit biogenesis (GO:0042273),9.57842135e-08,8.871664369e-07
translation (GO:0006412),8.437682e-10,2.28075527e-08
tryptophan catabolic process (GO:0006569),0.0004269586679589,0.0271091336337085
ribosomal large subunit assembly (GO:0000027),3.99918016e-07,0.0001760747023008
cuticle development involved in collagen and cuticulin-based cuticle molting cycle (GO:0042338),1.39336576e-08,5.07224454499e-05
peptide biosynthetic process (GO:0043043),8.460166085e-07,0.0003815405810268
cytoplasmic translation (GO:0002181),3.8521164198e-06,4.80128501e-08
post-embryonic body morphogenesis (GO:0040032),0.0006080919030326,0.0237910353634911
cellular macromolecule biosynthetic process (GO:0034645),2.83620847469e-05,4.19028069958e-05
extracellular matrix organization (GO:0030198),0.0002268994453497,0.1500060814201471
epithelial cell development (GO:0002064),0.0018262145834846,0.0748664050383175
cellular protein metabolic process (GO:0044267),1.3535908509e-06,0.0008795249646348
gene expression (GO:0010467),1.63802880573e-05,0.0009984533854558
L-phenylalanine metabolic process (GO:0006558),0.0181007509854062,0.0359179310538969
L-phenylalanine catabolic process (GO:0006559),0.0181007509854062,0.0359179310538969
ribonucleoprotein complex assembly (GO:0022618),1.63802880573e-05,2.5964454055e-06
monocarboxylic acid biosynthetic process (GO:0072330),0.0036670556515036,0.0340172173647133
regulation of tube size (GO:0035150),0.0023658809238188,0.0925686149872091
protein import into peroxisome matrix (GO:0016558),0.0225053626887031,4.19028069958e-05
epithelial cell differentiation (GO:0030855),0.0018262145834846,0.0748664050383175
pteridine-containing compound biosynthetic process (GO:0042559),0.0181007509854062,0.173880371862149
modification-dependent macromolecule catabolic process (GO:0043632),0.0155294781349119,0.1547817116565971
methionine metabolic process (GO:0006555),0.0181007509854062,0.0060395908218889
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222),0.0181007509854062,0.0359179310538969
aromatic amino acid family catabolic process (GO:0009074),0.0263298115835142,0.0625169121720421
kynurenine metabolic process (GO:0070189),0.0155294781349119,0.0271091336337085
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.0010222234015029,0.0350740053200685
regulation of multicellular organism growth (GO:0040014),0.0008665031614417,0.0436093641485888
maturation of LSU-rRNA (GO:0000470),0.0126488478551867,0.0300720056218588
ribosomal small subunit biogenesis (GO:0042274),0.0183706176532381,0.0008795249646348
positive regulation of multicellular organism growth (GO:0040018),0.0024752299500064,0.014473353758607
ribosomal small subunit assembly (GO:0000028),0.0435875014156669,4.19028069958e-05
maturation of SSU-rRNA (GO:0030490),0.0240296429564782,0.1911839316644702
positive regulation of developmental growth (GO:0048639),0.0076960183467288,0.0001899360293499
alpha-amino acid catabolic process (GO:1901606),0.0263298115835142,0.2287724990543069
fatty acid metabolic process (GO:0006631),0.0353038116429444,0.0010135892681223
embryonic body morphogenesis (GO:0010172),0.048477656991769,0.011436675448119
positive regulation of multicellular organismal process (GO:0051240),0.0427860994734149,0.0086182518438841
